ID,人数,順位,ゲームの時間,送ったライン合計,APM,日付,(JST),リプレイ
EIKB8M,5,4/5,1:12.520,28,32.27,2021-06-16,22:47:01,---
OOQCVF,6,6/6,36.42,7,18.12,2021-06-16,22:44:55,---
DUFVA9,6,2/6,2:17.080,92,45.96,2021-06-16,22:42:40,---
N7IQN8,4,1/4,1:59.910,96,54.04,2021-06-16,22:39:15,---
8G37LZ,4,2/4,1:09.770,51,49.02,2021-06-16,22:37:10,---
5AFSCC,5,2/5,1:28.080,44,42.23,2021-06-16,22:35:59,---
8TGOEE,5,4/5,38.29,23,36.04,2021-06-16,22:34:29,---
JBNWIL,4,3/4,37.17,9,16.14,2021-06-16,22:33:38,---
SXDVI7,5,4/5,46.2,22,35.06,2021-06-16,22:32:11,---
SDOPBR,5,4/5,20.49,20,61.49,2021-06-16,20:16:54,---
ZYXIS9,6,2/6,2:33.110,98,47.02,2021-06-16,20:15:57,---
GU1JI5,5,4/5,36.8,13,29.35,2021-06-16,20:13:09,---
81W0X7,4,1/4,1:46.730,65,43.85,2021-06-16,14:43:30,---
5KBMYZ,4,4/4,1:24.160,25,29.94,2021-06-16,14:41:36,---
HW3TC0,3,1/3,1:34.450,78,52.09,2021-06-16,14:39:20,---
H4ODLU,6,2/6,2:25.830,83,44.44,2021-06-16,14:37:33,---
BEZM2X,6,5/6,28.85,25,51.99,2021-06-16,14:35:03,---
0710HD,4,2/4,59.34,32,41.46,2021-06-16,14:33:12,---
4S6RMJ,5,3/5,2:20.170,63,35.1,2021-06-14,18:02:15,---
QHW4CK,6,1/6,2:27.530,87,44.33,2021-06-14,12:41:04,---
BFAEY8,6,1/6,2:09.880,83,45.73,2021-06-14,12:38:31,---
6AD6OQ,4,1/4,2:17.470,89,48.45,2021-06-14,12:36:17,---
6U7B0Q,3,2/3,1:42.530,41,46.23,2021-06-14,12:33:50,---
Y6DWDJ,5,2/5,2:11.330,55,30.61,2021-06-14,12:32:02,---
Y0DTQI,5,1/5,1:58.770,58,32.84,2021-06-14,12:29:47,---
XIS5GV,4,1/4,1:25.170,43,42.27,2021-06-14,03:31:11,---
LZFIAS,4,1/4,2:02.420,76,42.15,2021-06-14,03:29:42,---
2G9VCY,3,1/3,1:20.700,67,64.68,2021-06-14,03:27:31,---
DZWX2B,2,1/2,1:19.170,41,36.38,2021-06-14,03:26:04,---
Q4REAN,1,1/1,28.83,10,20.81,2021-06-14,03:24:42,---
HCKI8B,5,3/5,1:05.490,12,31.15,2021-06-14,03:23:49,---
2QLM0C,4,3/4,26.23,16,36.6,2021-06-14,03:22:07,---
33PO1V,5,2/5,1:42.770,67,44.37,2021-06-14,02:36:06,---
5WJUSL,6,5/6,31.58,5,26.6,2021-06-14,02:34:19,---
MV1UN8,6,5/6,1:45.310,25,22.79,2021-06-14,02:31:22,---
MA1FHE,6,1/6,2:08.840,73,37.26,2021-06-14,02:28:36,---
O1RYXQ,6,2/6,2:46.710,88,43.55,2021-06-14,02:26:23,---
LFXB01,38,1/38,2:58.820,53,23.82,2021-06-13,23:28:13,---
0MDB1U,38,2/38,2:58.380,92,34.31,2021-06-13,23:25:08,---
TDYE9G,42,6/42,2:33.840,103,44.46,2020-06-26,23:35:52,---
G6Y76D,40,10/40,2:20.890,115,54.08,2021-06-13,23:18:58,---
G8WVZZ,6,2/6,2:19.060,82,43.58,2021-06-13,22:43:01,---
DSRXB2,5,3/5,2:20.720,68,38.8,2021-06-13,22:40:36,---
OSOKQP,6,5/6,1:19.770,44,34.6,2021-06-13,22:38:08,---
6TV0EE,5,1/5,1:16.190,55,47.25,2021-06-13,22:35:41,---
LSZYJ5,6,4/6,24.19,3,12.4,2021-06-13,22:34:20,---
ZP3AVH,6,4/6,1:41.040,58,46.32,2021-06-13,22:32:13,---
48BRMQ,5,2/5,2:00.970,66,36.7,2021-06-13,22:29:48,---
XGUH5M,5,4/5,34.57,23,59.01,2021-06-13,22:27:43,---
MX1GHZ,3,1/3,1:16.150,39,40.18,2021-06-13,22:25:47,---
MVI3S5,41,8/41,2:09.400,63,37.09,2021-06-13,19:43:50,---
14K0GJ,38,12/38,2:17.580,75,38.38,2021-06-13,19:41:00,---
